CIDADE,DATA_COMUNICACAO_BO,FLAG_STATUS,VIOLENCIA_DOMESTICA,RUBRICA,DESCR_SUBTIPOLOCAL,DESCR_RELACIONAMENTO,IDADE_PESSOA,DESCR_PROFISSAO,DESCR_GRAU_INSTRUCAO
S.CARLOS                                ,2020-03-01,Consumado,VIOLÊNCIA DOMESTICA,Lesão corporal (art 129 § 9º),CASA,PARENTESCO                              ,62,PRENDAS DOMESTICAS            ,
S.CARLOS                                ,2020-03-01,Consumado,VIOLÊNCIA DOMESTICA,Lesão corporal (art 129 § 9º),VIA PÚBLICA,ENVOLVIMENTO AMOROSO                    ,19,DESEMPREGADO(A)               ,
TAQUARITINGA                            ,2020-03-01,Consumado,,Lesão corporal (art. 129),CASA,,32,ESTETICISTA                   ,Superior completo                       
BATATAIS                                ,2020-03-01,Consumado,,A.I.-Lesão corporal (art. 129),CASA,,53,PSICOLOGO(A)                  ,Superior completo                       
ARARAQUARA                              ,2020-03-01,Consumado,VIOLÊNCIA DOMESTICA,Ameaça (art. 147),CASA,UNIAO ESTAVEL                           ,30,AUXILIAR DE PRODUCAO          ,2 Grau completo                         
ARARAQUARA                              ,2020-03-01,Consumado,VIOLÊNCIA DOMESTICA,Lesão corporal (art. 129),CASA,UNIAO ESTAVEL                           ,30,AUXILIAR DE PRODUCAO          ,2 Grau completo                         
ARARAQUARA                              ,2020-03-01,Consumado,,Injúria (art. 140),CASA,,50,PROFESSOR(A)                  ,Superior completo                       
SERRANA                                 ,2020-03-01,Consumado,VIOLÊNCIA DOMESTICA,Ameaça (art. 147),CASA,UNIAO ESTAVEL                           ,44,PRENDAS DOMESTICAS            ,1 Grau incompleto                       
TAQUARITINGA                            ,2020-03-01,Consumado,,Ameaça (art. 147),CASA,,46,PEDAGOGO(A)                   ,Superior completo                       
TAQUARITINGA                            ,2020-03-01,Consumado,,Injúria (art. 140),CASA,,46,PEDAGOGO(A)                   ,Superior completo                       
BATATAIS                                ,2020-03-01,Consumado,,A.I.-Ameaça (art. 147),CASA,,53,PSICOLOGO(A)                  ,Superior completo                       
ARARAQUARA                              ,2020-03-01,Consumado,VIOLÊNCIA DOMESTICA,Dano (art. 163),CASA,UNIAO ESTAVEL                           ,30,AUXILIAR DE PRODUCAO          ,2 Grau completo                         
TAQUARITINGA                            ,2020-03-01,Consumado,,Injúria (art. 140),CASA,,41,CHAPA                         ,2 Grau completo                         
TAQUARITINGA                            ,2020-03-01,Consumado,,Ameaça (art. 147),CASA,,41,CHAPA                         ,2 Grau completo                         
PORTO FERREIRA                          ,2020-03-02,Consumado,VIOLÊNCIA DOMESTICA,Ameaça (art. 147),OUTROS,CASAMENTO                               ,35,NAO INFORMADA                 ,
RIBEIRAO PRETO                          ,2020-03-02,Consumado,,Injúria (art. 140),WHATSAPP,,23,TECNICO EM ENFERMAGEM         ,2 Grau completo                         
RIBEIRAO PRETO                          ,2020-03-02,Consumado,,Difamação (art. 139),CASA,,51,GERENTE                       ,Superior completo                       
SERTAOZINHO                             ,2020-03-02,Consumado,VIOLÊNCIA DOMESTICA,Injúria (art. 140),CASA,PARENTESCO                              ,66,,
SERTAOZINHO                             ,2020-03-02,Consumado,VIOLÊNCIA DOMESTICA,Ameaça (art. 147),CASA,PARENTESCO                              ,66,,
SERTAOZINHO                             ,2020-03-02,Consumado,,Violação de domicílio (art. 150),CASA,,29,NAO INFORMADA                 ,Superior completo                       
ITUVERAVA                               ,2020-03-02,Consumado,,Ameaça (art. 147),OUTROS,,32,PRENDAS DOMESTICAS            ,2 Grau completo                         
FRANCA                                  ,2020-03-02,Consumado,,Injúria (art. 140),CASA,,25,ESTUDANTE                     ,
FRANCA                                  ,2020-03-02,Consumado,,Ameaça (art. 147),CASA,,25,ESTUDANTE                     ,
FRANCA                                  ,2020-03-02,Consumado,,Ameaça (art. 147),ACAMPAMENTO,,42,RECEPCIONISTA                 ,
IGARAPAVA                               ,2020-03-02,Consumado,,Injúria (art. 140),CASA,,27,,2 Grau completo                         
RIBEIRAO BONITO                         ,2020-03-02,Consumado,,Ameaça (art. 147),VIA PÚBLICA-DEFRENTE A RESIDÊNCIA DA VÍTIMA,,53,APOSENTADO(A)                 ,2 Grau completo                         
S.CARLOS                                ,2020-03-02,Consumado,,Lesão corporal (art. 129),CASA,,57,DESEMPREGADO(A)               ,
S.CARLOS                                ,2020-03-02,Consumado,,Ameaça (art. 147),CASA,,67,NAO INFORMADA                 ,
S.CARLOS                                ,2020-03-02,Consumado,,Ameaça (art. 147),CASA,,25,AUXILIAR DE COZINHA           ,
S.CARLOS                                ,2020-03-02,Consumado,,Ameaça (art. 147),CASA,,49,DESEMPREGADO(A)               ,
FRANCA                                  ,2020-03-02,Consumado,,Injúria (art. 140),CASA,,75,,
PORTO FERREIRA                          ,2020-03-02,Consumado,,Ato obsceno (art.233),VIA PÚBLICA,,17,,2 Grau incompleto                       
S.CARLOS                                ,2020-03-02,Consumado,,Ameaça (art. 147),CASA,,26,ASSISTENTE DE VENDAS          ,
RIBEIRAO PRETO                          ,2020-03-02,Consumado,,Ameaça (art. 147),CASA,,60,,1 Grau completo                         
FRANCA                                  ,2020-03-02,Consumado,,Injúria (art. 140),CASA,,75,,
GUARIBA                                 ,2020-03-02,Consumado,,Ameaça (art. 147),CASA,,25,PRENDAS DOMESTICAS            ,2 Grau completo                         
GUARIBA                                 ,2020-03-02,Consumado,VIOLÊNCIA DOMESTICA,Ameaça (art. 147),CASA,UNIAO ESTAVEL                           ,28,PRENDAS DOMESTICAS            ,1 Grau completo                         
GUARIBA                                 ,2020-03-02,Consumado,,Ameaça (art. 147),CASA,,29,,
GUARIBA                                 ,2020-03-02,Consumado,,Lesão corporal (art. 129),CASA,,44,NAO INFORMADA                 ,
GUARIBA                                 ,2020-03-02,Consumado,,Ameaça (art. 147),CASA,,44,NAO INFORMADA                 ,
GUARIBA                                 ,2020-03-02,Consumado,,Lesão corporal (art. 129),CASA,,29,,
S.CARLOS                                ,2020-03-02,Consumado,,Estupro de vulneravel (art.217-A),CASA,PARENTESCO                              ,11,ESTUDANTE                     ,
CAJOBI                                  ,2020-03-02,Consumado,,Lesão corporal (art. 129),CASA,,12,NAO INFORMADA                 ,
ARARAQUARA                              ,2020-03-02,Consumado,VIOLÊNCIA DOMESTICA,Ameaça (art. 147),CASA,PARENTESCO                              ,13,ESTUDANTE                     ,1 Grau completo                         
JABOTICABAL                             ,2020-03-02,Consumado,VIOLÊNCIA DOMESTICA,Injúria (art. 140),CASA,ENVOLVIMENTO AMOROSO                    ,25,ADMINISTRADOR(A)              ,Superior completo                       
ARARAQUARA                              ,2020-03-02,Consumado,VIOLÊNCIA DOMESTICA,Injúria (art. 140),CASA,ENVOLVIMENTO AMOROSO                    ,19,PRENDAS DOMESTICAS            ,1 Grau incompleto                       
BEBEDOURO                               ,2020-03-02,Consumado,,Ameaça (art. 147),OUTROS,,20,ESTAGIARIO(A)                 ,Superior incompleto                     
BEBEDOURO                               ,2020-03-02,Consumado,,Injúria (art. 140),OUTROS,,20,ESTAGIARIO(A)                 ,Superior incompleto                     
BEBEDOURO                               ,2020-03-02,Consumado,,Ameaça (art. 147),VIA PÚBLICA-DEFRENTE A RESIDÊNCIA DA VÍTIMA,,53,APOSENTADO(A)                 ,1 Grau incompleto                       
BEBEDOURO                               ,2020-03-02,Consumado,,Injúria (art. 140),VIA PÚBLICA-DEFRENTE A RESIDÊNCIA DA VÍTIMA,,53,APOSENTADO(A)                 ,1 Grau incompleto                       
RIBEIRAO PRETO                          ,2020-03-02,Consumado,,Injúria (art. 140),VIA PÚBLICA,,32,NAO INFORMADA                 ,
ARARAQUARA                              ,2020-03-02,Consumado,VIOLÊNCIA DOMESTICA,Ameaça (art. 147),CASA,ENVOLVIMENTO AMOROSO                    ,19,PRENDAS DOMESTICAS            ,1 Grau incompleto                       
RIBEIRAO PRETO                          ,2020-03-02,Consumado,,Injúria (art. 140),VIA PÚBLICA,,67,,
RIBEIRAO PRETO                          ,2020-03-02,Consumado,,Difamação (art. 139),HOSPITAL-OUTROS,,41,TECNICO EM ENFERMAGEM         ,
ARARAQUARA                              ,2020-03-02,Consumado,VIOLÊNCIA DOMESTICA,Lesão corporal (art. 129),CASA,ENVOLVIMENTO AMOROSO                    ,19,PRENDAS DOMESTICAS            ,1 Grau incompleto                       
ARARAQUARA                              ,2020-03-02,Consumado,VIOLÊNCIA DOMESTICA,Ameaça (art. 147),OUTROS,UNIAO ESTAVEL                           ,70,APOSENTADO(A)                 ,1 Grau incompleto                       
ARARAQUARA                              ,2020-03-02,Consumado,VIOLÊNCIA DOMESTICA,Injúria (art. 140),OUTROS,UNIAO ESTAVEL                           ,70,APOSENTADO(A)                 ,1 Grau incompleto                       
SERRANA                                 ,2020-03-02,Consumado,,Ameaça (art. 147),CASA,,25,AUXILIAR DE LIMPEZA           ,2 Grau completo                         
SERRANA                                 ,2020-03-02,Consumado,,Dano (art. 163),CASA,,25,AUXILIAR DE LIMPEZA           ,2 Grau completo                         
RIBEIRAO PRETO                          ,2020-03-02,Consumado,,Ameaça (art. 147),HOSPITAL-OUTROS,,41,TECNICO EM ENFERMAGEM         ,
JABOTICABAL                             ,2020-03-02,Consumado,,Injúria (art. 140),CASA,,42,PRENDAS DOMESTICAS            ,1 Grau incompleto                       
ARARAQUARA                              ,2020-03-02,Consumado,VIOLÊNCIA DOMESTICA,Injúria (art. 140),CASA,UNIAO ESTAVEL                           ,41,TECNICO EM ENFERMAGEM         ,2 Grau completo                         
ARARAQUARA                              ,2020-03-02,Consumado,VIOLÊNCIA DOMESTICA,Injúria (art. 140),CASA,ENVOLVIMENTO AMOROSO                    ,43,APOSENTADO(A)                 ,2 Grau incompleto                       
JABOTICABAL                             ,2020-03-02,Consumado,VIOLÊNCIA DOMESTICA,Ameaça (art. 147),CASA,CASAMENTO                               ,38,FAXINEIRO(A)                  ,1 Grau completo                         
FRANCA                                  ,2020-03-02,Consumado,VIOLÊNCIA DOMESTICA,Lesão corporal (art. 129),CASA,ENVOLVIMENTO AMOROSO                    ,38,TECNICO EM ENFERMAGEM         ,
JABOTICABAL                             ,2020-03-02,Consumado,VIOLÊNCIA DOMESTICA,Ameaça (art. 147),CASA,UNIAO ESTAVEL                           ,39,PRENDAS DOMESTICAS            ,2 Grau incompleto                       
JABOTICABAL                             ,2020-03-02,Consumado,,Lesão corporal (art. 129),VIA PÚBLICA,,31,BALCONISTA                    ,1 Grau completo                         
DESCALVADO                              ,2020-03-02,Consumado,VIOLÊNCIA DOMESTICA,Injúria (art. 140),CASA,CASAMENTO                               ,31,NAO INFORMADA                 ,
JABOTICABAL                             ,2020-03-02,Consumado,,Ameaça (art. 147),VIA PÚBLICA,,31,BALCONISTA                    ,1 Grau completo                         
ARARAQUARA                              ,2020-03-02,Consumado,VIOLÊNCIA DOMESTICA,Ameaça (art. 147),CASA,UNIAO ESTAVEL                           ,41,TECNICO EM ENFERMAGEM         ,2 Grau completo                         
ARARAQUARA                              ,2020-03-02,Consumado,VIOLÊNCIA DOMESTICA,Ameaça (art. 147),CASA,PARENTESCO                              ,54,CABELEIREIRO(A)               ,2 Grau incompleto                       
RIBEIRAO PRETO                          ,2020-03-02,Consumado,,Ameaça (art. 147),VIA PÚBLICA,,32,NAO INFORMADA                 ,
RIBEIRAO PRETO                          ,2020-03-02,Consumado,,Ameaça (art. 147),VIA PÚBLICA,,67,,
ARARAQUARA                              ,2020-03-02,Consumado,VIOLÊNCIA DOMESTICA,Injúria (art. 140),CASA,PARENTESCO                              ,13,ESTUDANTE                     ,1 Grau completo                         
ARARAQUARA                              ,2020-03-02,Consumado,VIOLÊNCIA DOMESTICA,Injúria (art. 140),CASA,PARENTESCO                              ,54,CABELEIREIRO(A)               ,2 Grau incompleto                       
ARARAQUARA                              ,2020-03-02,Consumado,,Injúria (art. 140),LOJA DE MÓVEIS,,36,NAO INFORMADA                 ,
ARARAQUARA                              ,2020-03-02,Consumado,VIOLÊNCIA DOMESTICA,Ameaça (art. 147),CASA,ENVOLVIMENTO AMOROSO                    ,43,APOSENTADO(A)                 ,2 Grau incompleto                       
BOA ESPERANCA DO SUL                    ,2020-03-02,Consumado,VIOLÊNCIA DOMESTICA,Injúria (art. 140),CASA,CASAMENTO                               ,38,EMPREGADO DOMESTICO           ,
FRANCA                                  ,2020-03-02,Consumado,VIOLÊNCIA DOMESTICA,Lesão corporal (art. 129),CASA,PARENTESCO                              ,42,SAPATEIRO(A)                  ,
BARRETOS                                ,2020-03-02,Consumado,VIOLÊNCIA DOMESTICA,Ameaça (art. 147),CASA,UNIAO ESTAVEL                           ,44,FAXINEIRO(A)                  ,2 Grau incompleto                       
SERRANA                                 ,2020-03-02,Consumado,VIOLÊNCIA DOMESTICA,Lesão corporal (art. 129),CASA,PARENTESCO                              ,52,APOSENTADO(A)                 ,1 Grau incompleto                       
ITAPOLIS                                ,2020-03-02,Consumado,,Ameaça (art. 147),CASA,,21,PRENDAS DOMESTICAS            ,1 Grau completo                         
FRANCA                                  ,2020-03-02,Consumado,VIOLÊNCIA DOMESTICA,Lesão corporal (art. 129),CASA,UNIAO ESTAVEL                           ,61,EMPREGADO DOMESTICO           ,
COLOMBIA                                ,2020-03-02,Consumado,,Maus-tratos (art. 136),CASA,,10,,
S.SIMAO                                 ,2020-03-02,Consumado,VIOLÊNCIA DOMESTICA,Lesão corporal (art. 129),VIA PÚBLICA,ENVOLVIMENTO AMOROSO                    ,34,,
S.SIMAO                                 ,2020-03-02,Consumado,VIOLÊNCIA DOMESTICA,Injúria (art. 140),VIA PÚBLICA,ENVOLVIMENTO AMOROSO                    ,34,,
S.SIMAO                                 ,2020-03-02,Consumado,VIOLÊNCIA DOMESTICA,Ameaça (art. 147),VIA PÚBLICA,ENVOLVIMENTO AMOROSO                    ,34,,
S.SIMAO                                 ,2020-03-02,Consumado,,Ameaça (art. 147),HOSPITAL-PRONTO SOCORRO,,46,ENFERMEIRO(A)                 ,2 Grau completo                         
S.CARLOS                                ,2020-03-02,Consumado,,Dano (art. 163),VIA PÚBLICA,,31,PRENDAS DOMESTICAS            ,
BATATAIS                                ,2020-03-02,Consumado,,Art. 213 - Estupro,OUTROS,,50,AUTONOMO(A)                   ,Superior completo                       
S.RITA PASSA QUATRO                     ,2020-03-02,Consumado,,Ameaça (art. 147),VIA PÚBLICA-TRANSEUNTE,,34,BALCONISTA                    ,1 Grau completo                         
S.RITA PASSA QUATRO                     ,2020-03-02,Consumado,,Lesão corporal (art. 129),VIA PÚBLICA-TRANSEUNTE,,34,BALCONISTA                    ,1 Grau completo                         
PIRANGI                                 ,2020-03-02,Consumado,,Lesão corporal (art. 129),AREA COMUM-LAZER,,61,,1 Grau completo                         
PIRANGI                                 ,2020-03-02,Consumado,,Injúria (art. 140),AREA COMUM-LAZER,,61,,1 Grau completo                         
PIRANGI                                 ,2020-03-02,Consumado,,Ameaça (art. 147),AREA COMUM-LAZER,,61,,1 Grau completo                         
COLINA                                  ,2020-03-02,Consumado,,Injúria (art. 140),CASA,,25,,
PATROCINIO PAULISTA                     ,2020-03-02,Consumado,,Calúnia (art. 138),VIA PÚBLICA,,48,CABELEIREIRO(A)               ,Superior completo                       
ITAPOLIS                                ,2020-03-02,Consumado,,Injúria (art. 140),CASA,,21,PRENDAS DOMESTICAS            ,1 Grau completo                         
ITAPOLIS                                ,2020-03-02,Consumado,,Ameaça (art. 147),VIA PÚBLICA,,28,VENDEDOR(A)                   ,1 Grau incompleto                       
ITAPOLIS                                ,2020-03-02,Consumado,,Injúria (art. 140),VIA PÚBLICA,,28,VENDEDOR(A)                   ,1 Grau incompleto                       
CRISTAIS PAULISTA                       ,2020-03-02,Consumado,,Ameaça (art. 147),CHÁCARA-OUTROS,,51,COSTUREIRO(A)                 ,
DESCALVADO                              ,2020-03-02,Consumado,VIOLÊNCIA DOMESTICA,Injúria (art. 140),CASA,PARENTESCO                              ,61,NAO INFORMADA                 ,
RINCAO                                  ,2020-03-02,Consumado,,Ameaça (art. 147),CASA,,27,AJUDANTE GERAL                ,2 Grau completo                         
RINCAO                                  ,2020-03-02,Consumado,,A.I.-Injúria (art. 140),ENSINO MÉDIO,,14,ESTUDANTE                     ,2 Grau incompleto                       
RINCAO                                  ,2020-03-02,Consumado,,A.I.-Injúria (art. 140),ENSINO MÉDIO,,15,ESTUDANTE                     ,
RINCAO                                  ,2020-03-02,Consumado,,A.I.-Ameaça (art. 147),ENSINO MÉDIO,,14,ESTUDANTE                     ,2 Grau incompleto                       
VISTA ALEGRE DO ALTO                    ,2020-03-02,Consumado,,Estupro de vulneravel (art.217-A),CASA,,15,ESTUDANTE                     ,1 Grau completo                         
COLINA                                  ,2020-03-02,Consumado,,Injúria (art. 140),CASA,,49,,
VISTA ALEGRE DO ALTO                    ,2020-03-02,Consumado,,Estupro de vulneravel (art.217-A),CASA,,13,ESTUDANTE                     ,1 Grau incompleto                       
CRAVINHOS                               ,2020-03-02,Consumado,,Calúnia (art. 138),CASA,,29,PRENDAS DOMESTICAS            ,
RINCAO                                  ,2020-03-02,Consumado,,A.I.-Ameaça (art. 147),ENSINO MÉDIO,,15,ESTUDANTE                     ,
S.ANTONIO DA ALEGRIA                    ,2020-03-02,Consumado,,Maus-tratos (art. 136),CASA,,12,ESTUDANTE                     ,1 Grau incompleto                       
S.RITA PASSA QUATRO                     ,2020-03-02,Consumado,,Lesão corporal (art. 129),PRAÇA-TRANSEUNTE,,36,EMPRESARIO(A)                 ,2 Grau completo                         
S.RITA PASSA QUATRO                     ,2020-03-02,Consumado,,Estupro de vulneravel (art.217-A),CASA,,11,ESTUDANTE                     ,
S.RITA PASSA QUATRO                     ,2020-03-02,Consumado,,Estupro de vulneravel (art.217-A),CASA,,1,,
CAMPINAS                                ,2020-03-02,Consumado,,Dano (art. 163),LOTE DE TERRENO,,90,NAO INFORMADA                 ,Superior completo                       
S.ANTONIO DA ALEGRIA                    ,2020-03-02,Consumado,,Lesão corporal (art. 129),CASA,,12,ESTUDANTE                     ,1 Grau incompleto                       
COLINA                                  ,2020-03-02,Consumado,,Difamação (art. 139),CASA,,25,,
COLINA                                  ,2020-03-02,Consumado,,Difamação (art. 139),CASA,,49,,
COLINA                                  ,2020-03-02,Consumado,,Ameaça (art. 147),CASA,,57,PENSIONISTA                   ,1 Grau incompleto                       
BARRETOS                                ,2020-03-02,Consumado,,Injúria (art. 140),CASA,,42,AUTONOMO(A)                   ,1 Grau incompleto                       
BARRETOS                                ,2020-03-02,Consumado,,Lesão corporal (art. 129),CASA,,42,AUTONOMO(A)                   ,1 Grau incompleto                       
BARRETOS                                ,2020-03-02,Consumado,,Ameaça (art. 147),CASA,,59,AUTONOMO(A)                   ,2 Grau completo                         
BARRETOS                                ,2020-03-02,Consumado,,Ameaça (art. 147),CASA,,39,,
BARRETOS                                ,2020-03-02,Consumado,,Ameaça (art. 147),CASA,,13,ESTUDANTE                     ,
BARRETOS                                ,2020-03-02,Consumado,,Injúria (art. 140),CASA,,59,AUTONOMO(A)                   ,2 Grau completo                         
BARRETOS                                ,2020-03-02,Consumado,,Injúria (art. 140),CASA,,39,,
BARRETOS                                ,2020-03-02,Consumado,VIOLÊNCIA DOMESTICA,Injúria (art. 140),CASA,ENVOLVIMENTO AMOROSO                    ,31,AUTONOMO(A)                   ,Superior completo                       
BARRETOS                                ,2020-03-02,Consumado,,Injúria (art. 140),CASA,,13,ESTUDANTE                     ,
BARRETOS                                ,2020-03-02,Consumado,,Estupro de vulneravel (art.217-A),CASA,,2,,
BARRETOS                                ,2020-03-02,Tentado,,Calúnia (art. 138),VELÓRIO,,45,PRENDAS DOMESTICAS            ,1 Grau completo                         
BATATAIS                                ,2020-03-02,Consumado,VIOLÊNCIA DOMESTICA,Ameaça (art. 147),CASA,PARENTESCO                              ,54,NAO INFORMADA                 ,
FRANCA                                  ,2020-03-02,Consumado,,Ameaça (art. 147),CASA,,30,ATENDENTE                     ,
FRANCA                                  ,2020-03-02,Consumado,,Ameaça (art. 147),CASA,,38,CORRETOR(A) DE IMOVEIS        ,Superior completo                       
CAJURU                                  ,2020-03-02,Consumado,,Dano (art. 163),CASA,,50,LAVRADOR(A)                   ,1 Grau completo                         
FRANCA                                  ,2020-03-02,Consumado,,Art. 215A - Importunação Sexual,MERCADO,,41,,
BARRETOS                                ,2020-03-02,Consumado,,Ameaça (art. 147),CASA,,24,OUTROS                        ,1 Grau incompleto                       
S.CARLOS                                ,2020-03-02,Consumado,,Lesão corporal (art. 129),CASA,,25,OPERADOR DE EMBALAGEM         ,2 Grau completo                         
